label	source_id	depth	cohort	access_status	title	relationship	locator	version_or_date	retrieved_at	sha256	local_path	claim_ceiling
EVIDENCE	SICP-2E-UF	0	seed	fetched	Structure and Interpretation of Computer Programs, second edition	renders and teaches	https://web.mit.edu/6.001/6.037/sicp.pdf	Unofficial Texinfo Format 2.andresraba5.6; 2016-02-02	2026-08-01T05:03:41Z	08709a87567d8311d6fd29c4f4a5386801153e71450e628c4a5a5d7e85feda8b	evidence/sicp/sicp.pdf	Book claims, algorithms, examples, qualitative cost statements, and its bibliography; not independent empirical validation
EVIDENCE	CC-BY-SA-4.0	0	license	fetched	Creative Commons Attribution-ShareAlike 4.0 International	licenses SICP-2E-UF	https://creativecommons.org/licenses/by-sa/4.0/legalcode.txt	4.0	2026-08-01T05:06:29Z	28a9529c7d0bb4dc51f4bf5c116a3d16ef247a052f7591466768ddf563fd1cf5	evidence/sicp/LICENSE.txt	License terms only
EVIDENCE	PI-MONO	0	modern-harness	fetched	Pi monorepo	compared with SICP by the reader course	https://github.com/badlogic/pi-mono	4488ad55c18f07ae89a489096c90de8667b3adfb	2026-08-01T18:59:15Z	MISSING	evidence/implementations/pi/snapshot	Source structure and code behavior visible at the pinned commit only; not runtime behavior, endorsement, or historical evidence about SICP
EVIDENCE	HERMES-AGENT	0	modern-harness	fetched	Hermes Agent	compared with SICP by the reader course	https://github.com/NousResearch/hermes-agent	e444d165807f489b5c1ab8e4a612c8d09c2e67a2	2026-08-01T18:59:15Z	MISSING	evidence/implementations/hermes/snapshot	Source structure and code behavior visible at the pinned commit only; not runtime behavior, endorsement, or historical evidence about SICP
EVIDENCE	CODEX-SICP	0	modern-harness	fetched	OpenAI Codex	compared with SICP by the reader course	https://github.com/openai/codex	a850875a8eb603d18cb14cb2c5e80c930de9bd48	2026-08-01T18:59:15Z	MISSING	evidence/implementations/codex-sicp/snapshot	Source structure and code behavior visible at the pinned commit only; not runtime behavior, endorsement, or historical evidence about SICP
EVIDENCE	MCCARTHY-1960	1	lineage-root	not-yet-fetched	Recursive Functions of Symbolic Expressions and Their Computation by Machine	cited by SICP-2E-UF	SICP-2E-UF bibliography, printed p. 840, PDF p. 868	1960	MISSING	MISSING	MISSING	Bibliographic identity and citation relationship only; contents MISSING
EVIDENCE	CHURCH-1941	1	lineage-root	not-yet-fetched	The Calculi of Lambda-Conversion	cited by SICP-2E-UF	SICP-2E-UF bibliography, printed p. 835, PDF p. 863	1941	MISSING	MISSING	MISSING	Bibliographic identity and citation relationship only; contents MISSING
EVIDENCE	STEELE-SUSSMAN-1975	1	lineage-root	not-yet-fetched	Scheme: An Interpreter for the Extended Lambda Calculus	cited by SICP-2E-UF	SICP-2E-UF bibliography, printed p. 842, PDF p. 870	1975	MISSING	MISSING	MISSING	Bibliographic identity and citation relationship only; contents MISSING
EVIDENCE	REES-ADAMS-1982	1	mechanism-lineage	not-yet-fetched	T: A Dialect of Lisp or, Lambda: The Ultimate Software Tool	credited by SICP-2E-UF for an analyzed interpreter	SICP-2E-UF §4.1.7 note 28, printed p. 535, PDF p. 563	1982	MISSING	MISSING	MISSING	SICP's attribution only; paper contents and measurements MISSING
EVIDENCE	FEELEY-1986	1	mechanism-lineage	not-yet-fetched	Deux approches à l'implantation du language Scheme	credited by SICP-2E-UF for independently developing analyzed evaluation	SICP-2E-UF §4.1.7 note 28, printed p. 535, PDF p. 563	1986	MISSING	MISSING	MISSING	SICP's attribution only; thesis contents and measurements MISSING
EVIDENCE	FEELEY-LAPALME-1987	1	mechanism-lineage	not-yet-fetched	Using Closures for Code Generation	cited by SICP-2E-UF beside analyzed evaluation	SICP-2E-UF §4.1.7 note 28, printed p. 535, PDF p. 563	1987	MISSING	MISSING	MISSING	SICP's attribution only; paper contents and measurements MISSING
EVIDENCE	IEEE-SCHEME-1990	1	language-standard	not-yet-fetched	IEEE Standard for the Scheme Programming Language	constrains examples in SICP-2E-UF	SICP-2E-UF preface, printed p. xx, PDF p. 20	1990	MISSING	MISSING	MISSING	SICP's conformance claim only; standard text MISSING
