WENG-REWARD	[1]	Andrew Ng & Stuart Russell. “Algorithms for inverse reinforcement learning.”. ICML 2000.		plain-numbered
WENG-REWARD	[2]	Amodei et al. “Concrete problems in AI safety: Avoid reward hacking.” arXiv preprint arXiv:1606.06565 (2016).		plain-numbered
WENG-REWARD	[3]	Krakovna et al. “Specification gaming: the flip side of AI ingenuity.” 2020.		plain-numbered
WENG-REWARD	[4]	Langosco et al. “Goal Misgeneralization in Deep Reinforcement Learning” ICML 2022.		plain-numbered
WENG-REWARD	[5]	Everitt et al. “Reinforcement learning with a corrupted reward channel.” IJCAI 2017.		plain-numbered
WENG-REWARD	[6]	Geirhos et al. “Shortcut Learning in Deep Neural Networks.” Nature Machine Intelligence 2020.		plain-numbered
WENG-REWARD	[7]	Ribeiro et al. “Why Should I Trust You?”: Explaining the Predictions of Any Classifier. KDD 2016.		plain-numbered
WENG-REWARD	[8]	Nagarajan et al. “Understanding the Failure Modes of Out-of-Distribution Generalization.” ICLR 2021.		plain-numbered
WENG-REWARD	[9]	Garrabrant. “Goodhart Taxonomy”. AI Alignment Forum (Dec 30th 2017).		plain-numbered
WENG-REWARD	[10]	Koch et al. “Objective robustness in deep reinforcement learning.” 2021.		plain-numbered
WENG-REWARD	[11]	Pan et al. “The effects of reward misspecification: mapping and mitigating misaligned models.”		plain-numbered
WENG-REWARD	[12]	Everitt et al. “Reward tampering problems and solutions in reinforcement learning: A causal influence diagram perspective.” arXiv preprint arXiv:1908.04734 (2019).		plain-numbered
WENG-REWARD	[13]	Gleave et al. “Adversarial Policies: Attacking Deep Reinforcement Learning.” ICRL 2020		plain-numbered
WENG-REWARD	[14]	“Reward hacking behavior can generalize across tasks.”		plain-numbered
WENG-REWARD	[15]	Ng et al. “Policy invariance under reward transformations: Theory and application to reward shaping.” ICML 1999.		plain-numbered
WENG-REWARD	[16]	Wang et al. “Large Language Models are not Fair Evaluators.” ACL 2024.		plain-numbered
WENG-REWARD	[17]	Liu et al. “LLMs as narcissistic evaluators: When ego inflates evaluation scores.” ACL 2024.		plain-numbered
WENG-REWARD	[18]	Gao et al. “Scaling Laws for Reward Model Overoptimization.” ICML 2023.		plain-numbered
WENG-REWARD	[19]	Pan et al. “Spontaneous Reward Hacking in Iterative Self-Refinement.” arXiv preprint arXiv:2407.04549 (2024).		plain-numbered
WENG-REWARD	[20]	Pan et al. “Feedback Loops With Language Models Drive In-Context Reward Hacking.” arXiv preprint arXiv:2402.06627 (2024).		plain-numbered
WENG-REWARD	[21]	Shrama et al. “Towards Understanding Sycophancy in Language Models.” arXiv preprint arXiv:2310.13548 (2023).		plain-numbered
WENG-REWARD	[22]	Denison et al. “Sycophancy to subterfuge: Investigating reward tampering in language models.” arXiv preprint arXiv:2406.10162 (2024).		plain-numbered
WENG-REWARD	[23]	Uesato et al. “Avoiding Tampering Incentives in Deep RL via Decoupled Approval.” arXiv preprint arXiv:2011.08827 (2020).		plain-numbered
WENG-REWARD	[24]	Amin and Singh. “Towards resolving unidentifiability in inverse reinforcement learning.”		plain-numbered
WENG-REWARD	[25]	Wen et al. “Language Models Learn to Mislead Humans via RLHF.” arXiv preprint arXiv:2409.12822 (2024).		plain-numbered
WENG-REWARD	[26]	Revel et al. “SEAL: Systematic Error Analysis for Value ALignment.” arXiv preprint arXiv:2408.10270 (2024).		plain-numbered
WENG-REWARD	[27]	Yuval Noah Harari. “Nexus: A Brief History of Information Networks from the Stone Age to AI.” Signal; 2024 Sep 10. - Language-Model - Rlhf - Alignment - Safety - Reinforcement-Learning - Long-Read « Why We Think » Extrinsic Hallucinations in LLMs [] [] [] [] [] [] © 2026 Lil'Log Powered by Hugo & PaperMod []		plain-numbered
